source,model_sector,sector_name,tariff_rate,tariff_percent,weight_imports,target_imports,hs10_count
CHN,DNH,Toys,0.15999493446378918,15.999493446378917,224805380207.0,8002187285.0,5615
CHN,DNL,Cars,0.22699841941430665,22.699841941430666,119642369641.0,5989417324.0,3770
CHN,UPH,Oil,0.2803976733656817,28.039767336568172,28544626539.0,1432413117.0,1511
CHN,UPL,Steel,0.19226044410254353,19.226044410254353,44879411458.0,2477887676.0,3388
ROW,DNH,Toys,0.08646641853156249,8.646641853156249,745445389676.0,95480819799.0,6283
ROW,DNL,Cars,0.0861009961722363,8.610099617223629,1241613388379.0,91955949849.0,5953
ROW,UPH,Oil,0.04826113537059466,4.8261135370594666,387351020191.0,29969568811.0,1997
ROW,UPL,Steel,0.12539908176024195,12.539908176024195,318075945399.0,24517695294.0,4096
