period,rgdp,ngdp,ii,ll,c,w,ae,te,rk,pi,y0,va0,lp0,i0,c0,k0,l0,py0,pf0,pm0,rks0,pm2s0,ae0,te0,y1,va1,lp1,i1,c1,k1,l1,py1,pf1,pm1,rks1,pm2s1,ae1,te1,y2,va2,lp2,i2,c2,k2,l2,py2,pf2,pm2,rks2,pm2s2,ae2,te2,y3,va3,lp3,i3,c3,k3,l3,py3,pf3,pm3,rks3,pm2s3,ae3,te3,y4,va4,lp4,i4,c4,k4,l4,py4,pf4,pm4,rks4,pm2s4,ae4,te4,y5,va5,lp5,i5,c5,k5,l5,py5,pf5,pm5,rks5,pm2s5,ae5,te5,rer1,ex1,im1,nx1,rex1,rim1,taus0-1,exs0-1,ims0-1,nxs0-1,rexs0-1,rims0-1,exsm0-1,exsf0-1,imsm0-1,imsf0-1,aes0-1,tes0-1,taus1-1,exs1-1,ims1-1,nxs1-1,rexs1-1,rims1-1,exsm1-1,exsf1-1,imsm1-1,imsf1-1,aes1-1,tes1-1,taus2-1,exs2-1,ims2-1,nxs2-1,rexs2-1,rims2-1,exsm2-1,exsf2-1,imsm2-1,imsf2-1,aes2-1,tes2-1,taus3-1,exs3-1,ims3-1,nxs3-1,rexs3-1,rims3-1,exsm3-1,exsf3-1,imsm3-1,imsf3-1,aes3-1,tes3-1,taus4-1,exs4-1,ims4-1,nxs4-1,rexs4-1,rims4-1,exsm4-1,exsf4-1,imsm4-1,imsf4-1,aes4-1,tes4-1,rer2,ex2,im2,nx2,rex2,rim2,taus0-2,exs0-2,ims0-2,nxs0-2,rexs0-2,rims0-2,exsm0-2,exsf0-2,imsm0-2,imsf0-2,aes0-2,tes0-2,taus1-2,exs1-2,ims1-2,nxs1-2,rexs1-2,rims1-2,exsm1-2,exsf1-2,imsm1-2,imsf1-2,aes1-2,tes1-2,taus2-2,exs2-2,ims2-2,nxs2-2,rexs2-2,rims2-2,exsm2-2,exsf2-2,imsm2-2,imsf2-2,aes2-2,tes2-2,taus3-2,exs3-2,ims3-2,nxs3-2,rexs3-2,rims3-2,exsm3-2,exsf3-2,imsm3-2,imsf3-2,aes3-2,tes3-2,taus4-2,exs4-2,ims4-2,nxs4-2,rexs4-2,rims4-2,exsm4-2,exsf4-2,imsm4-2,imsf4-2,aes4-2,tes4-2
0,99.9673282451440315,99.4966575490185647,23.4567489922445773,65.9689469941620814,79.8956914893701224,0.9995294999115474,0.7388522734817990,1.1624938573692536,0.0800000000000000,0.9958929701752567,9.4554874293678903,3.6446545212599637,4.6531273851472701,1.8690727500309074,1.6406215140590950,33.1625256873509784,0.7832698784249190,0.9495596228470802,0.9875427150430373,0.9556151364196763,1.0487945635148792,3.5094127057238897,-0.0801938432766501,1.8387260694886998,5.2559007103171655,2.1070348220079613,1.0134866727387748,0.0194227711101710,0.8932992376608394,0.3251302499010069,2.0789960822218405,0.9869866004516953,1.0016647137121220,0.9951337908634491,1.0090238000389118,1.6950588787210250,0.5971593848640371,0.9045967285549166,3.0729866576098632,2.0044356210029743,1.2876668841416468,0.3234678029767725,1.5586597836681750,5.1892887214630967,1.5566414308613075,0.9891680265860048,1.0003948171675969,1.0018451398011776,1.0067985856886845,0.4637230326083224,1.6983459530186102,1.0212849946724318,13.4924691553814693,5.3328009639761902,2.1716223646977477,1.9811581233991633,6.9430857151453331,33.3400913621987343,2.4556760193056975,0.9842962103678872,0.9982445834365107,0.9889467074824945,1.0117817783764860,4.8971448448703292,0.5007184465582345,1.0362970589339686,134.2371019751265919,83.1818258990363972,1.4949998969459752,19.0947682448316129,68.8600252388366840,319.1511478733171998,55.6400211591735854,0.9936800688006756,1.0004405024606637,0.9902138178093950,1.0022269757078373,5.8137518728537305,0.0000000000000000,0.0000000000000000,7.2357557385097016,3.6976622856129109,1.0704388365598454,0.1688592998959499,0.0000000000000000,2.8195828634909748,3.4543424241747269,0.9885831271246153,0.9885831271246153,0.9885831271246153,1.0073942624045211,1.7423045898874345,0.0000000000000000,0.0000000000000000,0.8713427600313082,0.7836006946149585,1.7984926404080257,-1.0148919457930672,0.7955270363835923,1.9901964228229432,0.2788778206490000,0.1058382473983695,0.0874886080049856,0.0183496393933839,0.1114603494628731,0.0965311565734430,0.0856111430122360,0.0202271043861335,0.0688847180246779,0.0186038899803077,0.9526829264675433,1.1612469419901112,0.1926356203170000,0.0746715440825690,0.1658856757681547,-0.0912141316855858,0.0756560869705784,0.1823733452394948,0.0726632979534654,0.0020082461291036,0.1297070216381870,0.0361786541299678,0.5416579005217350,0.8017663821719715,0.1614467225050000,0.0721386709207011,0.8653129147462263,-0.7931742438255253,0.0729286319228079,0.9575305496545031,0.0554387306477912,0.0166999402729098,0.3121244877539421,0.5531884269922842,0.8834103274126119,0.9521766962293714,0.2235093762080000,0.1201571311691875,0.3841614393306350,-0.2640043081614474,0.1220741580669888,0.4259173225002219,0.0615225966953194,0.0586345344738681,0.1087618009522144,0.2753996383784206,0.3756578279616245,0.7083643887537689,0.0000000000000000,0.4107951010441314,0.2956440025580240,0.1151510984861074,0.4134078099603442,0.3278440488552803,0.2192388350000779,0.1915562660440536,0.1281084994553549,0.1675355031026692,0.0000000000000000,0.0000000000000000,0.8919452857281883,7.8600216215950560,9.3078253242915601,-1.4478037026965040,7.9699700165585572,10.1618385730604626,0.0434891742400000,0.8685211788524156,1.2682425222342353,-0.3997213433818196,0.9146568134903571,1.3802766358740768,0.6471917642341196,0.2213294146182961,1.0435800023711452,0.2246625198630900,-0.1676514937095740,1.8960908340414433,0.1266509600380000,0.6400592339680918,0.7181106060260017,-0.0780513720579099,0.6484984027900361,0.7850643635649284,0.5271332075561119,0.1129260264119799,0.5537063372412184,0.1644042687847833,0.6103768069187315,0.9290853004242978,0.0854046431810000,0.3277486561799632,1.1639184996785228,-0.8361698434985596,0.3313376973082607,1.2710755395730693,0.1686822967107140,0.1590663594692492,0.4011704424240631,0.7627480572544597,2.3380582260023481,1.0755339749476207,0.0873737738720000,1.4042956399083057,2.7202022623211422,-1.3159066224128364,1.4267002403508604,2.9706560724785045,0.5790703709541720,0.8252252689541336,0.8672734542757076,1.8529288080454347,0.5193229048868895,1.0850814785653093,0.0000000000000000,4.6193969126862795,3.4373514340316595,1.1820454786546200,4.6487768626190427,3.7547659615698850,2.8199556469304112,1.7994412657558685,1.7357267493260342,1.7016246847056253,0.0000000000000000,0.0000000000000000
1,99.9449294144830844,99.8913771395947663,23.5373494387473983,65.9642387936973762,79.9834559221045112,0.9994581635408697,1.1068142885177228,1.1072553154965250,0.0815160886907005,0.9986068511517061,9.4142854333463042,3.6287730511393850,4.6659940631328043,1.8794045497453395,1.6421609374642852,33.0400356676653644,0.7777063155333257,0.9770114211810278,0.9877847013719148,0.9757188656222120,1.0221035593878456,3.4661249058491230,0.6169631064712038,1.6144304836622601,5.2518424244021569,2.1054078982489566,1.0135012741174545,0.0195155204738086,0.8919522464786396,0.3250451168459740,2.0773608795729657,0.9927985994405473,1.0056889188759315,1.0009298763072223,1.0058503826601204,1.7008504423376882,0.9683929901487252,0.9763810177404493,3.0814810021732484,2.0099762785836894,1.2874746177643139,0.3257075359419605,1.5523885962265043,5.2012882683904555,1.5611774017525812,0.9943917085216242,1.0083194588885005,1.0091554606546511,1.0042389157049074,0.4656109618377154,1.9952973742366455,1.0329541984554631,13.4824060779717279,5.3288236053257290,2.1720646618705648,1.9886813659182696,6.9347697984742789,33.3207993453396227,2.4533448284806534,0.9922169233238388,1.0017762738255709,0.9964244931480457,1.0064400512404703,4.9142091392570384,0.7713618297797521,0.9734971647740157,134.2291931849185289,83.1769251108006245,1.4949178341527642,19.1545852087384922,68.9621843434608053,319.0968102389549585,55.6397971918909207,0.9965554295368189,0.9998475802753858,0.9929137612306531,1.0020585123055732,5.8657548592024851,0.0000000000000000,0.0000000000000000,7.2367032369752797,3.6981464823531631,1.0704210465337605,0.1694552579295286,0.0000000000000000,2.8192670500805166,3.4548521764669227,0.9945530120548158,0.9945530120548158,0.9945530120548158,1.0040760412444127,1.7529795912462942,0.0000000000000000,0.0000000000000000,0.8959037945099828,0.7645609092197529,1.7633029040259975,-0.9987419948062446,0.7702133831279671,1.9296168264009455,0.2788778206490000,0.1028299598888184,0.0749464319907303,0.0278835278980882,0.1052494962285250,0.0818356473920062,0.0832470387896010,0.0195829210992175,0.0589379059574076,0.0160085260333227,1.9612021041811041,1.7902945299104436,0.1926356203170000,0.0727260312148429,0.1615169739355586,-0.0887909427207157,0.0732535594387671,0.1759174219798294,0.0707812294259022,0.0019448017889407,0.1262736390430146,0.0352433348925440,0.9269160037656357,0.9532638042569399,0.1614467225050000,0.0689705400215320,0.8449327454160772,-0.7759622053945452,0.0693595284740170,0.9241375723229334,0.0530241317472515,0.0159464082742805,0.3053092400043165,0.5396235054117607,1.4872384662747360,1.1114254196513094,0.2235093762080000,0.1182715295141488,0.3780015363952359,-0.2597300068810872,0.1191992665454139,0.4140153870652299,0.0605800904498071,0.0576914390643417,0.1069448470028969,0.2710566893923390,0.6161613962070426,0.7884971810854178,0.0000000000000000,0.4017628485804108,0.3039052162883958,0.0978576322920149,0.4031515324412441,0.3337107976409465,0.2147595416695230,0.1870033069108878,0.1315011642055078,0.1724040520828880,0.0000000000000000,0.0000000000000000,0.9132887021900971,7.7238722083497242,9.4317467332073406,-1.7078745248576164,7.7768468507709390,10.1965769323915243,0.0434891742400000,0.8528921046115144,1.2843545731761208,-0.4314624685646063,0.8729602194215133,1.3853067556555450,0.6357606301442441,0.2171314744672704,1.0560496428875847,0.2283049302885362,0.5031412181261569,1.5995393981707136,0.1266509600380000,0.6259811336154401,0.7136032343546685,-0.0876221007392285,0.6305217734676370,0.7710637883096594,0.5156250164486342,0.1103561171668058,0.5501578508701284,0.1634453834845402,0.9782705428138214,0.9818862753197882,0.0854046431810000,0.3152963376796163,1.1738982607821760,-0.8586019231025597,0.3170745843691433,1.2695508857918307,0.1622302621820082,0.1530660754976081,0.4053511609064865,0.7685470998756895,2.3941160153781040,0.9713554639079636,0.0873737738720000,1.3883880499427470,2.7394243612021878,-1.3510363112594408,1.3992787436962573,2.9605767389254716,0.5726213723914660,0.8157666775512810,0.8728600044608009,1.8665643567413868,0.7944499931951770,1.0010184142765324,0.0000000000000000,4.5413145825004069,3.5204663036921873,1.0208482788082196,4.5570115298163882,3.8100787637090172,2.7737712457601433,1.7675433367402631,1.7754806028018451,1.7449857008903422,0.0000000000000000,0.0000000000000000
2,99.9381525323931186,100.0408121009224516,23.5828161114711783,65.9674937391730509,80.0301934432890647,0.9995074808965622,1.3289045179415711,1.0677424354160392,0.0807527196793694,1.0002683825293783,9.3805698198319014,3.6157772363651350,4.6734301596011187,1.8862867960840923,1.6423914369363140,32.9357197367450283,0.7736880862415080,0.9821246311447462,0.9884558397197702,0.9817978495104142,1.0184739806021197,3.4690635271500940,1.1545365711009352,1.4316250871265530,5.2512951516770041,2.1051885024208032,1.0135048393386479,0.0195722377163481,0.8906989048951199,0.3250579282892229,2.0771370996062752,0.9969820114291542,1.0087694776704244,1.0068020823669495,1.0032963193543614,1.7038178470244165,1.2246962489186533,1.0406928955278536,3.0915284106538241,2.0165299625729642,1.2872086329514136,0.3272634262886245,1.5476405105375610,5.2147786308707769,1.5665913908216300,0.9989298350543109,1.0139898328990298,1.0159757695772293,1.0013399814762711,0.4664305145038821,2.2679795323165353,1.0530531905963274,13.4767885447814244,5.3266033159133617,2.1723199878131405,1.9930210601509548,6.9267135789296290,33.3102193120834471,2.4520343898670363,0.9957497777082277,1.0044680775546713,1.0017886160970377,1.0045378918703356,4.9253029424414372,0.8125019115061071,0.9267663311570299,134.2340073298498453,83.1799082604637050,1.4949116372770799,19.1869169363505421,69.0227490119904417,319.1055858679914650,55.6420233720117992,0.9979630055307157,0.9993923588900765,0.9951109505060448,1.0023100826241917,5.8923876638792816,0.0000000000000000,0.0000000000000000,7.2390357546180715,3.6993384604726520,1.0704044253350726,0.1697556548806173,0.0000000000000000,2.8195661580736662,3.4560194006248008,0.9978105430502521,0.9978105430502521,0.9978105430502521,1.0024632326209069,1.7577875751396086,0.0000000000000000,0.0000000000000000,0.9116700055080615,0.7501580452264308,1.7345589699600175,-0.9844009247335866,0.7535484011185756,1.8810787325767542,0.2788778206490000,0.0985811430087442,0.0651922889792137,0.0333888540295305,0.1003753901313318,0.0705713250707857,0.0798387762887258,0.0187423667200184,0.0512405409937495,0.0139517479854643,2.7280385510102745,2.3571321870307544,0.1926356203170000,0.0713553630500122,0.1581888386216920,-0.0868334755716798,0.0715713646104062,0.1711106050917728,0.0694488289942981,0.0019065340557140,0.1236800034110270,0.0345088352106649,1.2065281407480375,1.0714522021336277,0.1614467225050000,0.0666674966236488,0.8269137983711694,-0.7602463017475206,0.0667389182744994,0.8965600317784690,0.0512663456507258,0.0154011509729230,0.2993200447877404,0.5275937535834290,1.9544525640633343,1.2554562486124061,0.2235093762080000,0.1169370536323475,0.3737917141720706,-0.2568546605397231,0.1174361835173938,0.4057165012335427,0.0599213995717315,0.0570156540606160,0.1057555833027033,0.2680361308693673,0.7607018415094665,0.8440164563189575,0.0000000000000000,0.3966169889116781,0.3104723298158720,0.0861446590958060,0.3974265445849444,0.3371202694021841,0.2121340047657358,0.1844829841459422,0.1342284384567433,0.1762438913591288,0.0000000000000000,0.0000000000000000,0.9268848158311370,7.6217427073889832,9.5285350608847281,-1.9067923534957449,7.6540091599625297,10.2066160040111811,0.0434891742400000,0.8250208274780961,1.2978908132886813,-0.4728699858105851,0.8400367950414472,1.3881026954456890,0.6150407390770463,0.2099800884010499,1.0667694981435907,0.2311213151450905,1.0213021038870906,1.3532588397796819,0.1266509600380000,0.6164605982592426,0.7092357481058853,-0.0927751498466427,0.6183267011764420,0.7598954854158251,0.5077852194369048,0.1086753788223378,0.5468262536832479,0.1624094944226374,1.2290228999347839,1.0333677087813005,0.0854046431810000,0.3062059119128999,1.1813473879981282,-0.8751414760852283,0.3065339538049254,1.2670656669775180,0.1575243851451692,0.1486815267677308,0.4086456407759207,0.7727017472222075,2.5140935113855090,0.8941698184207129,0.0873737738720000,1.3768331645142684,2.7536750485188035,-1.3768418840045351,1.3827099893339920,2.9501016816438241,0.5679525485362703,0.8088806159779982,0.8773760656522550,1.8762989828665484,0.8202078724591902,0.9390764941436063,0.0000000000000000,4.4972222052244764,3.5863860629732311,0.9108361422512452,4.5064017206057230,3.8414504745283233,2.7473213839703652,1.7499008212541112,1.8073843212862466,1.7790017416869843,0.0000000000000000,0.0000000000000000
3,99.9386198301370712,100.1222800537410365,23.6076562809726553,65.9733432056418962,80.0531977014202312,0.9995961091763925,1.5758526590675035,1.0570596986374652,0.0803022345451092,1.0013056354527934,9.3525787222640542,3.6049879585973037,4.6773757072877871,1.8912189750373207,1.6419542948435741,32.8448601138376119,0.7707287556525332,0.9853350799869272,0.9892939581618434,0.9856431043954970,1.0162082481282186,3.4709360111606022,1.8885144508224834,1.3296834824020187,5.2526494875761758,2.1057314413113049,1.0135040580018748,0.0196068686777701,0.8896276726229952,0.3251266322261473,2.0776744056286844,0.9995082900170144,1.0110816152104052,1.0104312481371254,1.0017982296432464,1.7057933491126112,1.4103128205130797,1.0998429739833124,3.1022111284134337,2.0234980435939010,1.2869313477052566,0.3283742163057775,1.5440446201064790,5.2290002923779841,1.5723434254686746,1.0017285999988761,1.0180709529261684,1.0203470911501626,0.9995777653287695,0.4669796073946940,2.5234617750862856,1.0884208388895922,13.4737225608581941,5.3253915079163932,2.1724722761529640,1.9954493657397168,6.9195341603813221,33.3046234531250320,2.4513047031130131,0.9979144066488022,1.0065126699339559,1.0051736772940272,1.0033983163098925,4.9325629953139112,0.8593636785393559,0.9050491309747328,134.2429930701517833,83.1854763953114684,1.4949561479159390,19.2031210362961318,69.0580369534658587,319.1461470301049417,55.6440913074789165,0.9987023599289101,0.9990443054689744,0.9963095795467024,1.0026066580277917,5.9100371231304951,0.0000000000000000,0.0000000000000000,7.2414452746478100,3.7005697888455780,1.0703948680216095,0.1698858189159368,0.0000000000000000,2.8201473642682342,3.4572006083000666,0.9995646413892788,0.9995646413892788,0.9995646413892788,1.0017417523503980,1.7613071236565110,0.0000000000000000,0.0000000000000000,0.9218590153073347,0.7401675073024296,1.7090329802127493,-0.9688654729103197,0.7422591763712978,1.8420178151854871,0.2788778206490000,0.0950605950222165,0.0574614828647662,0.0375991121574502,0.0964753990322538,0.0618410704671310,0.0770004537949753,0.0180601412272412,0.0451575078728798,0.0123039749918864,3.3968227869658727,2.8702828460477376,0.1926356203170000,0.0703587222845524,0.1556011244149344,-0.0852424021303821,0.0703933353902994,0.1674905985533151,0.0684766970536605,0.0018820252308919,0.1216741456139724,0.0339269788009620,1.4095040105055707,1.1650780623984256,0.1614467225050000,0.0649043450897203,0.8107536202257776,-0.7458492751360573,0.0647923450421533,0.8737818754239421,0.0499186588288396,0.0149856862608807,0.2939316646607842,0.5168219555649933,2.3238379416282697,1.3873244818216801,0.2235093762080000,0.1161087162667715,0.3707207243555496,-0.2546120080887781,0.1163513779269787,0.3998884561311534,0.0595199547057084,0.0565887615610631,0.1049190192672665,0.2658017050882832,0.8547625885027899,0.8849126427425351,0.0000000000000000,0.3937351286391689,0.3144960283517215,0.0792391002874474,0.3942467189796126,0.3390158146099457,0.2106120194759908,0.1831231091631780,0.1358997618820183,0.1785962664697032,0.0000000000000000,0.0000000000000000,0.9356024038414341,7.5533507987419117,9.5836709589894440,-2.0303201602475323,7.5737391310261053,10.2033069166812247,0.0434891742400000,0.8015631416189736,1.3064287914097950,-0.5048656497908214,0.8134929506717739,1.3894707354850917,0.5975376929303211,0.2040254486886525,1.0735944576704706,0.2328343337393245,1.7608001802806417,1.1992350063110311,0.1266509600380000,0.6097133138959613,0.7049405201312963,-0.0952272062353350,0.6100132635073815,0.7509942143424642,0.5021967767161851,0.1075165371797762,0.5435905858491268,0.1613499342821695,1.4105054348793078,1.0843075390922374,0.0854046431810000,0.2991823991024903,1.1852636204904656,-0.8860812213879753,0.2986661248394286,1.2640922364562246,0.1538921238636861,0.1452902752388043,0.4106479826845849,0.7746156378058807,2.6801634975667499,0.8537859514025995,0.0873737738720000,1.3698331387613949,2.7608422350665474,-1.3910090963051525,1.3726960244632311,2.9404022179121538,0.5651453036792875,0.8046878350821074,0.8798674390446680,1.8809747960218794,0.8600481529071647,0.9080447059239481,0.0000000000000000,4.4730588053630917,3.6261957918913392,0.8468630134717525,4.4788707675442909,3.8583475124852908,2.7325528024652126,1.7405060028978796,1.8266524714416761,1.7995433204496631,0.0000000000000000,0.0000000000000000
4,99.9418570304711977,100.1665439532625754,23.6202842351074267,65.9793143402342395,80.0624409739870515,0.9996865809126404,1.8457927937627321,1.0618653353819829,0.0800364834524624,1.0019698613454384,9.3289479264342372,3.5958793761465864,4.6788562828556195,1.8949522834621237,1.6411748762325475,32.7646026060787321,0.7685381124704975,0.9876003963767621,0.9901888817405401,0.9882718141698199,1.0145498776847337,3.4717522929848701,2.8358403610905971,1.2769547379994812,5.2549604470400064,2.1066578804377110,1.0135018762518075,0.0196278350748831,0.8887480659921408,0.3252257820326286,2.0785929753072363,1.0010460525277676,1.0127974784231972,1.0126951684738630,1.0009228434749211,1.7071889256558306,1.5483072621641836,1.1514724991166774,3.1129680153120809,2.0305145033684178,1.2866727958866386,0.3291875739059266,1.5413136085694914,5.2434743307035436,1.5781125627741295,1.0034455014280801,1.0210248668675044,1.0231827739703916,0.9985294267794897,0.4673794292971307,2.7500026429488869,1.1302867143160411,13.4720811081134588,5.3247427355769013,2.1725663210882753,1.9967241501372159,6.9133792107264016,33.3017944504404610,2.4508999720246272,0.9992739286420929,1.0080667264940855,1.0073530902652632,1.0026978915651377,4.9375872661902598,0.9011963666678886,0.8967634956654350,134.2520851739654688,83.1911104397399868,1.4950319510687680,19.2098732603963995,69.0778252124664647,319.2004622705145493,55.6450384757786267,0.9990756870216156,0.9987775548329891,0.9969462154749077,1.0028968519216503,5.9222600934760310,0.0000000000000000,0.0000000000000000,7.2433835390140784,3.7015602931281588,1.0703929272284749,0.1699191321308784,0.0000000000000000,2.8208236925738746,3.4581322418791189,1.0004949483296004,1.0004949483296004,1.0004949483296004,1.0014741833712408,1.7639841454325809,0.0000000000000000,0.0000000000000000,0.9285267348794716,0.7331034850200853,1.6869432478059210,-0.9538397627858357,0.7344162420217419,1.8104290456540661,0.2788778206490000,0.0921491785008423,0.0513151417924666,0.0408340367083757,0.0933061376229825,0.0550037587548268,0.0746462733276146,0.0175029051732276,0.0403293278552265,0.0109858139372401,3.9859842912491312,3.3301885857894127,0.1926356203170000,0.0696447513566116,0.1535938582008433,-0.0839491068442317,0.0695719754158660,0.1647359170771229,0.0677785665449027,0.0018661848117089,0.1201234893122543,0.0334703688885890,1.5579279857048076,1.2387814333343943,0.1614467225050000,0.0635555793487077,0.7966321578974263,-0.7330765785487185,0.0633373504173938,0.8549311014295811,0.0488864856992139,0.0146690936494938,0.2892012957412239,0.5074308621562023,2.6218813523175744,1.5047267224416481,0.2235093762080000,0.1156022233352633,0.3685105758877636,-0.2529083525525003,0.1156862197859544,0.3957592592528574,0.0592802898003901,0.0563219335348732,0.1043353248006599,0.2641752510871037,0.9171775227602976,0.9145552457359423,0.0000000000000000,0.3921517524786605,0.3168915140274212,0.0752602384512393,0.3925145587795452,0.3399990091396784,0.2097347633142225,0.1824169891644380,0.1368951638373916,0.1799963501900297,0.0000000000000000,0.0000000000000000,0.9412568747507426,7.5065961959356420,9.6134613899864956,-2.1068651940508536,7.5198912054507350,10.1933673170930792,0.0434891742400000,0.7819127792326762,1.3117862989345184,-0.5298735197018422,0.7917299163723528,1.3899641918504140,0.5828460685844844,0.1990667106481918,1.0779296205271418,0.2338566784073766,2.7384532489607865,1.1030995276034412,0.1266509600380000,0.6049853275731987,0.7010530103742229,-0.0960676828010242,0.6043531424408841,0.7438903856254903,0.4982632274061324,0.1067221001670663,0.5406772668232503,0.1603757435509725,1.5460161313049854,1.1306802798386508,0.0854046431810000,0.2937727754750269,1.1869578127759468,-0.8931850373009199,0.2927640565002647,1.2609059762374781,0.1510968825322185,0.1426758929428085,0.4117913840135898,0.7751664287623570,2.8505759391358345,0.8363569103318791,0.0873737738720000,1.3656896570437369,2.7640651400971050,-1.3983754830533681,1.3666819656743812,2.9319128677278696,0.5635015519899244,0.8021881050538126,0.8811871867217524,1.8828779533753524,0.8988189535709331,0.8941167322278714,0.0000000000000000,4.4602356566110029,3.6495991278047022,0.8106365288063007,4.4643621244628520,3.8666938956518271,2.7244893544876647,1.7357463021233384,1.8379833217552051,1.8116158060494971,0.0000000000000000,0.0000000000000000
5,99.9455956038556508,100.1895070062991095,23.6256478046016305,65.9843622284203093,80.0636806444487235,0.9997630640669742,2.1383554827413316,1.0741564405445141,0.0798796360291287,1.0024088798731845,9.3087452988932071,3.5880921945381536,4.6785917021206913,1.8979228400132870,1.6402344385192591,32.6930534512359046,0.7669171457966206,0.9892921221932544,0.9910827309191397,0.9901700916579933,1.0132587305464946,3.4719483801589872,3.9953671807706432,1.2529688120743205,5.2576762831208423,2.1077466303035441,1.0134994166935276,0.0196402291180436,0.8880377660344170,0.3253399099992639,2.0796722677748773,1.0019905185033233,1.0140647915051566,1.0141342132716160,1.0004175302681368,1.7082280466105102,1.6523837570722129,1.1951994791653515,3.1234643769215245,2.0373610287344808,1.2864477294789853,0.3297963714099766,1.5392265015037405,5.2578949035972311,1.5837106957774469,1.0044758671819276,1.0231765131996662,1.0250556058484293,0.9979422230276751,0.4676976642326288,2.9447055986389481,1.1735664953314484,13.4711972760769996,5.3243934073492980,2.1726275310883949,1.9972990194136322,6.9081855637659420,33.3004107035608641,2.4506701361194669,1.0001474969842599,1.0092535791952331,1.0087956056151144,1.0022610493909583,4.9412429523096577,0.9355600718404613,0.8951921593960294,134.2595085800486174,83.1957104531737173,1.4951250159384923,19.2110912746681386,69.0879963746253623,319.2582659259664979,55.6446514948796036,0.9992489265456371,0.9985717839910213,0.9972727654303259,1.0031623284685141,5.9310512341086561,0.0000000000000000,0.0000000000000000,7.2446877124089539,3.7022267601774077,1.0703973810538223,0.1698980699785542,0.0000000000000000,2.8214927683869897,3.4587404880722987,1.0009803804525319,1.0009803804525319,1.0009803804525319,1.0014271003193957,1.7660575617356578,0.0000000000000000,0.0000000000000000,0.9329845806051275,0.7280125218175214,1.6681554715955502,-0.9401429497780288,0.7288448821556239,1.7847351107562628,0.2788778206490000,0.0897286579388845,0.0464037322303860,0.0433249257084985,0.0906998609672102,0.0495950012352482,0.0726856419669550,0.0170430159719295,0.0364749739862653,0.0099287582441207,4.5053737668801528,3.7391842550043046,0.1926356203170000,0.0691415963054663,0.1520364596254797,-0.0828948633200134,0.0690042420847888,0.1626191520062806,0.0672856175764632,0.0018559787290031,0.1189230355455505,0.0331134240799292,1.6672196993509836,1.2966330915936484,0.1614467225050000,0.0625263729786656,0.7844753612255542,-0.7219489882468886,0.0622477602713187,0.8392814954460452,0.0480979982471528,0.0144283747315128,0.2851095040715495,0.4993658571540046,2.8644345999302971,1.6074743901995485,0.2235093762080000,0.1152997333917349,0.3669355039588758,-0.2516357705671409,0.1152827295367909,0.3928009212148690,0.0591417829409306,0.0561579504508043,0.1039312997132608,0.2630042042456149,0.9590498332613837,0.9357888720246735,0.0000000000000000,0.3913161612027701,0.3183044145552547,0.0730117466475154,0.3916102892955153,0.3404385408538196,0.2092376045590058,0.1820785566437642,0.1374832566844810,0.1808211578707736,0.0000000000000000,0.0000000000000000,0.9449970753698007,7.4738792943279915,9.6285358415881070,-2.1546565472601156,7.4828242331009367,10.1805553387076717,0.0434891742400000,0.7653727179578360,1.3151774389707813,-0.5498047210129453,0.7736569419566484,1.3899321636967268,0.5704678064415966,0.1949049115162394,1.0807193725952942,0.2344580663754872,3.9521829607039058,1.0424513839763305,0.1266509600380000,0.6017217121974414,0.6976867418935127,-0.0959650296960712,0.6005263533793066,0.7382039093892493,0.4955377954549020,0.1061839167425394,0.5381603920654764,0.1595263498280362,1.6488506459671439,1.1710435330337405,0.0854046431810000,0.2896245184102592,1.1872887499376745,-0.8976642315274154,0.2883339738393170,1.2576613917761328,0.1489548219200199,0.1406696964902393,0.4123740083455097,0.7749147415921648,3.0077171316056179,0.8329552900166100,0.0873737738720000,1.3633216764346867,2.7652146815160763,-1.4018930050813896,1.3631206202540169,2.9246888984113677,0.5625771049235200,0.8007445715111667,0.8818595257900701,1.8833551557260062,0.9320656521549551,0.8891528493649781,0.0000000000000000,4.4538386693277676,3.6631682292700605,0.7906704400577071,4.4571863436716477,3.8700689754341959,2.7202701152712869,1.7335685540564805,1.8445626339387491,1.8186055953313114,0.0000000000000000,0.0000000000000000
