period,rgdp,ngdp,ii,ll,c,w,ae,te,y0,va0,lp0,i0,c0,k0,l0,py0,ae0,te0,y1,va1,lp1,i1,c1,k1,l1,py1,ae1,te1,y2,va2,lp2,i2,c2,k2,l2,py2,ae2,te2,y3,va3,lp3,i3,c3,k3,l3,py3,ae3,te3,y4,va4,lp4,i4,c4,k4,l4,py4,ae4,te4,y5,va5,lp5,i5,c5,k5,l5,py5,ae5,te5,rer1,ex1,im1,nx1,rex1,rim1,taus0-1,exs0-1,ims0-1,nxs0-1,rexs0-1,rims0-1,exsm0-1,exsf0-1,imsm0-1,imsf0-1,aes0-1,tes0-1,taus1-1,exs1-1,ims1-1,nxs1-1,rexs1-1,rims1-1,exsm1-1,exsf1-1,imsm1-1,imsf1-1,aes1-1,tes1-1,taus2-1,exs2-1,ims2-1,nxs2-1,rexs2-1,rims2-1,exsm2-1,exsf2-1,imsm2-1,imsf2-1,aes2-1,tes2-1,taus3-1,exs3-1,ims3-1,nxs3-1,rexs3-1,rims3-1,exsm3-1,exsf3-1,imsm3-1,imsf3-1,aes3-1,tes3-1,taus4-1,exs4-1,ims4-1,nxs4-1,rexs4-1,rims4-1,exsm4-1,exsf4-1,imsm4-1,imsf4-1,aes4-1,tes4-1,rer2,ex2,im2,nx2,rex2,rim2,taus0-2,exs0-2,ims0-2,nxs0-2,rexs0-2,rims0-2,exsm0-2,exsf0-2,imsm0-2,imsf0-2,aes0-2,tes0-2,taus1-2,exs1-2,ims1-2,nxs1-2,rexs1-2,rims1-2,exsm1-2,exsf1-2,imsm1-2,imsf1-2,aes1-2,tes1-2,taus2-2,exs2-2,ims2-2,nxs2-2,rexs2-2,rims2-2,exsm2-2,exsf2-2,imsm2-2,imsf2-2,aes2-2,tes2-2,taus3-2,exs3-2,ims3-2,nxs3-2,rexs3-2,rims3-2,exsm3-2,exsf3-2,imsm3-2,imsf3-2,aes3-2,tes3-2,taus4-2,exs4-2,ims4-2,nxs4-2,rexs4-2,rims4-2,exsm4-2,exsf4-2,imsm4-2,imsf4-2,aes4-2,tes4-2
0,100.0000000046570392,100.0000000108334177,23.6510475745499775,66.0000000046570392,79.4445448400676213,1.0000000000705618,2.9292704766247435,-nan,4.7940890255197210,-21.2459244900958488,2.1884935980353402,0.6566868781136012,0.7813628500825429,10.9447813760808224,0.7943099996516750,0.9999999998783946,8.0000026708453778,0.0000000000000000,7.6351181295895563,-42.5921936259159750,1.4697802637037805,0.6806649813124340,1.1286387139770100,11.3444161888077115,2.0828940020318121,1.0000000001497495,1.9999999285002241,0.0000000000000000,5.3989534294000654,-40.7355118339122271,1.9088390363274648,0.9821784007380024,2.1464074745462045,16.3696400981737291,1.5535739998217506,0.9999999999917151,3.9999993743511015,0.0000000000000000,13.5117595218286191,-50.7001580862042402,2.1679876794729127,1.9991844534188106,6.9017790166914272,33.3197407513397650,2.4606120007473238,1.0000000000747284,1.0500003184886606,0.0000000000000000,134.3247376178313743,-49.3876596922086861,1.4951026043041786,19.1669974307413220,68.4863567847704360,319.4499574108467641,55.6528499946130779,1.0000000000222511,0.0000000000000000,0.0000000000000000,7.2421411594292504,-21.5711119038408228,1.0687782107267101,0.1653354302258108,0.0000000000000000,2.7555903934250039,3.4557600077913997,1.0000000001056608,0.0000000000000000,0.0000000000000000,1.0000000000964213,0.8344794589979154,2.0699968075267789,-1.2355173485288635,0.8344794589713183,2.0699968084070801,0.0000000000000000,0.0378036051033947,0.0200896559419126,0.0177139491614820,0.0378036051079918,0.0200896559582791,0.0351075413087796,0.0026960637946150,0.0152143996187107,0.0048752563232020,7.9999987212483710,0.0000000000000000,0.0000000000000000,0.0891173810472061,0.2821383931771571,-0.1930210121299510,0.0891173810338608,0.2821383935041119,0.0854157525121144,0.0037016285350917,0.2227849012949929,0.0593534918821642,1.9999996619451688,0.0000000000000000,0.0000000000000000,0.1489954456900807,1.0052271769031229,-0.8562317312130422,0.1489954456913151,1.0052271773712946,0.1124056530688626,0.0365897926212181,0.3638260848026934,0.6414010921004295,4.0000000009149055,0.0000000000000000,0.0000000000000000,0.1268129798164050,0.4437673136791068,-0.3169543338627018,0.1268129798069285,0.4437673138645473,0.0649462790612891,0.0618667007551160,0.1259080108392860,0.3178593028398208,1.0499997602095148,0.0000000000000000,0.0000000000000000,0.4317500473408289,0.3187742678254797,0.1129757795153493,0.4317500473312220,0.3187742677088474,0.2295624735853140,0.2021875737555149,0.1384656023036008,0.1803086655218788,0.0000000000000000,0.0000000000000000,0.9999999995421563,8.2632182680979493,10.1232933236758686,-1.8600750555779193,8.2632182678423671,10.1232933283671613,0.0000000000000000,0.6195523130930932,0.9784678987495715,-0.3589155856564783,0.6195523131684341,0.9784678992326103,0.4950498361969322,0.1245024768961610,0.8508482983612434,0.1276196003883281,8.0000027519375063,0.0000000000000000,0.0000000000000000,0.7942789224652497,1.0428291048262988,-0.2485501823610491,0.7942789223463067,1.0428291053135030,0.6465897685001895,0.1476891539650602,0.7986682782052889,0.2441608266210098,2.0000000006169443,0.0000000000000000,0.0000000000000000,0.5731427670597935,1.4403363691749913,-0.8671936021151978,0.5731427670645419,1.4403363698098450,0.3105727403281730,0.2625700267316206,0.5492434250847642,0.8910929440902270,3.9999989370650786,0.0000000000000000,0.0000000000000000,1.4687183046560124,2.9887887684041310,-1.5200704637481186,1.4687183045462575,2.9887887697525990,0.6046620458176074,0.8640562588384050,0.9546125497784084,2.0341762186257224,1.0500004013804458,0.0000000000000000,0.0000000000000000,4.8075259608238001,3.6728711825208755,1.1346547783029246,4.8075259607168270,3.6728711842586041,2.9308387340743645,1.8766872267494359,1.8588088861041963,1.8140622964166790,0.0000000000000000,0.0000000000000000
1,100.0000000050404623,100.0000000111518119,23.6510475794523813,66.0000000049170836,79.4445448392306446,1.0000000000745015,2.9292696745478559,-nan,4.7940890244443315,4.7940890244443315,6.0355390547555308,0.6566868830822395,0.7813628500284420,10.9447813716295741,0.7943099996456764,0.9999999999756728,7.9999978584561440,0.0000000000000000,7.6351181310371672,7.6351181310371672,3.6656297078095750,0.6806649722341545,1.1286387140535319,11.3444161987916825,2.0828940017510909,0.9999999999943748,1.9999996078204956,0.0000000000000000,5.3989534279138622,5.3989534279138622,3.4751826625740416,0.9821784065515913,2.1464074746307262,16.3696400930213066,1.5535739994498299,0.9999999999992454,3.9999993204725617,0.0000000000000000,13.5117595230716994,13.5117595230716994,5.4912190626650670,1.9991844459303161,6.9017790170511102,33.3197407596781900,2.4606120005188798,0.9999999999759019,1.0499999641613365,0.0000000000000000,134.3247376171410679,134.3247376171410679,2.4136183075669870,19.1669974476666489,68.4863567834668316,319.4499573969372932,55.6528499953852176,1.0000000000386677,0.0000000000000000,0.0000000000000000,7.2421411612842146,7.2421411612842146,2.0956724842495249,0.1653354239874278,0.0000000000000000,2.7555904000453144,3.4557600081663891,1.0000000000135203,0.0000000000000000,0.0000000000000000,0.9999999991042607,0.8344794579166792,2.0699968085898734,-1.2355173506731942,0.8344794579045738,2.0699968104552684,0.0000000000000000,0.0378036050404794,0.0200896559635274,0.0177139490769520,0.0378036050413990,0.0200896559812248,0.0351075412500914,0.0026960637903880,0.0152143996345598,0.0048752563289676,7.9999992181770780,0.0000000000000000,0.0000000000000000,0.0891173810093836,0.2821383930623034,-0.1930210120529198,0.0891173810098849,0.2821383933127191,0.0854157524779919,0.0037016285313916,0.2227849012018887,0.0593534918604147,1.9999994973440807,0.0000000000000000,0.0000000000000000,0.1489954454177766,1.0052271780234590,-0.8562317326056824,0.1489954454178890,1.0052271789271348,0.1124056528729726,0.0365897925448040,0.3638260852038557,0.6414010928196032,3.9999994179155678,0.0000000000000000,0.0000000000000000,0.1268129796980849,0.4437673136888940,-0.3169543339908091,0.1268129797011408,0.4437673140863806,0.0649462790135423,0.0618667006845426,0.1259080108347868,0.3178593028541071,1.0499998858192761,0.0000000000000000,0.0000000000000000,0.4317500467509549,0.3187742678516899,0.1129757788992649,0.4317500467342601,0.3187742681478090,0.2295624731878669,0.2021875735630879,0.1384656023152252,0.1803086655364647,0.0000000000000000,0.0000000000000000,0.9999999995266748,8.2632182677611681,10.1232933239181673,-1.8600750561569992,8.2632182676306378,10.1232933287223830,0.0000000000000000,0.6195523127882017,0.9784678991638757,-0.3589155863756740,0.6195523128032736,0.9784678996227444,0.4950498359471225,0.1245024768410791,0.8508482987058734,0.1276196004580022,7.9999978305386970,0.0000000000000000,0.0000000000000000,0.7942789226300824,1.0428291046934830,-0.2485501820634006,0.7942789226345504,1.0428291051882139,0.6465897686287596,0.1476891540013227,0.7986682780939450,0.2441608265995380,1.9999996377099936,0.0000000000000000,0.0000000000000000,0.5731427668707011,1.4403363690812983,-0.8671936022105972,0.5731427668711335,1.4403363697740150,0.3105727402058228,0.2625700266648783,0.5492434250427050,0.8910929440385932,3.9999992524659764,0.0000000000000000,0.0000000000000000,1.4687183046839472,2.9887887683940866,-1.5200704637101394,1.4687183047193404,2.9887887698235298,0.6046620457879126,0.8640562588960345,0.9546125497227825,2.0341762186713042,1.0499999757933549,0.0000000000000000,0.0000000000000000,4.8075259607882366,3.6728711825854252,1.1346547782028114,4.8075259606023399,3.6728711843138795,2.9308387340131912,1.8766872267750452,1.8588088861396719,1.8140622964457533,0.0000000000000000,0.0000000000000000
2,100.0000000056689942,100.0000000115078649,23.6510475790437695,66.0000000050068962,79.4445448393212104,1.0000000000758618,2.9292700785915478,-nan,4.7940890247616235,4.7940890247616235,6.0355390547949179,0.6566868830382346,0.7813628500284521,10.9447813724140381,0.7943099996930634,0.9999999999754314,8.0000007382188656,0.0000000000000000,7.6351181311811258,7.6351181311811258,3.6656297078236548,0.6806649722155727,1.1286387140513352,11.3444161990983350,2.0828940017823627,0.9999999999947774,1.9999997962416869,0.0000000000000000,5.3989534281998965,5.3989534281998965,3.4751826625939248,0.9821784064961983,2.1464074746164523,16.3696400939916167,1.5535739995232487,0.9999999999982219,3.9999995483458775,0.0000000000000000,13.5117595231385934,13.5117595231385934,5.4912190627006083,1.9991844459054990,6.9017790170346620,33.3197407600278126,2.4606120005151357,0.9999999999757764,1.0499998567438200,0.0000000000000000,134.3247376176807393,134.3247376176807393,2.4136183075765896,19.1669974474006182,68.4863567835903098,319.4499574007876959,55.6528499953873919,1.0000000000370199,0.0000000000000000,0.0000000000000000,7.2421411611626167,7.2421411611626167,2.0956724842511445,0.1653354239876465,0.0000000000000000,2.7555904000300231,3.4557600081056945,1.0000000000148566,0.0000000000000000,0.0000000000000000,0.9999999991505919,0.8344794579878334,2.0699968084728422,-1.2355173504850088,0.8344794579765811,2.0699968102417308,0.0000000000000000,0.0378036050524251,0.0200896559581786,0.0177139490942465,0.0378036050533539,0.0200896559749642,0.0351075412611007,0.0026960637913245,0.0152143996307308,0.0048752563274478,7.9999989080321825,0.0000000000000000,0.0000000000000000,0.0891173810180478,0.2821383930537310,-0.1930210120356833,0.0891173810185132,0.2821383932912249,0.0854157524861926,0.0037016285318551,0.2227849011959769,0.0593534918577541,1.9999994699730677,0.0000000000000000,0.0000000000000000,0.1489954454428244,1.0052271779209305,-0.8562317324781061,0.1489954454430893,1.0052271787778704,0.1124056528911790,0.0365897925516454,0.3638260851702206,0.6414010927507099,4.0000000240969333,0.0000000000000000,0.0000000000000000,0.1268129797046771,0.4437673136885488,-0.3169543339838716,0.1268129797077490,0.4437673140654892,0.0649462790160821,0.0618667006885950,0.1259080108361053,0.3178593028524435,1.0500000320373182,0.0000000000000000,0.0000000000000000,0.4317500467698591,0.3187742678514533,0.1129757789184058,0.4317500467538756,0.3187742681321818,0.2295624731980544,0.2021875735718046,0.1384656023156625,0.1803086655357908,0.0000000000000000,0.0000000000000000,0.9999999995473982,8.2632182680864545,10.1232933238003096,-1.8600750557138550,8.2632182679644473,10.1232933283949258,0.0000000000000000,0.6195523128909680,0.9784678990813644,-0.3589155861903964,0.6195523129061895,0.9784678995203092,0.4950498360299390,0.1245024768610291,0.8508482986407888,0.1276196004405756,8.0000007757957956,0.0000000000000000,0.0000000000000000,0.7942789226678657,1.0428291046874525,-0.2485501820195868,0.7942789226720139,1.0428291051605303,0.6465897686603074,0.1476891540075583,0.7986682780927467,0.2441608265947059,1.9999998845139679,0.0000000000000000,0.0000000000000000,0.5731427669266216,1.4403363690446387,-0.8671936021180171,0.5731427669276408,1.4403363697070006,0.3105727402369979,0.2625700266896236,0.5492434250338097,0.8910929440108291,3.9999992163137899,0.0000000000000000,0.0000000000000000,1.4687183047165813,2.9887887683972192,-1.5200704636806379,1.4687183047521590,2.9887887697639459,0.6046620458020732,0.8640562589145081,0.9546125497339872,2.0341762186632319,1.0499998307167131,0.0000000000000000,0.0000000000000000,4.8075259608844183,3.6728711825896347,1.1346547782947836,4.8075259607064442,3.6728711842431379,2.9308387340769539,1.8766872268074641,1.8588088861481324,1.8140622964415021,0.0000000000000000,0.0000000000000000
3,100.0000000062165242,100.0000000118139525,23.6510475786786714,66.0000000050833506,79.4445448393948226,1.0000000000770208,2.9292700180614943,-nan,4.7940890250423260,4.7940890250423260,6.0355390548293633,0.6566868829991634,0.7813628500283866,10.9447813731074302,0.7943099997350385,0.9999999999752354,8.0000001415254758,0.0000000000000000,7.6351181313080518,7.6351181313080518,3.6656297078359619,0.6806649721987654,1.1286387140492937,11.3444161993680073,2.0828940018099957,0.9999999999951324,1.9999998817594971,0.0000000000000000,5.3989534284527307,5.3989534284527307,3.4751826626113083,0.9821784064466289,2.1464074746036128,16.3696400948483181,1.5535739995882318,0.9999999999973282,3.9999997450284503,0.0000000000000000,13.5117595231963232,13.5117595231963232,5.4912190627316892,1.9991844458834911,6.9017790170194564,33.3197407603316407,2.4606120005117216,0.9999999999756810,1.0499997125593299,0.0000000000000000,134.3247376181465995,134.3247376181465995,2.4136183075849882,19.1669974471631726,68.4863567836940774,319.4499574041410028,55.6528499953867524,1.0000000000355602,0.0000000000000000,0.0000000000000000,7.2421411610541746,7.2421411610541746,2.0956724842525625,0.1653354239874500,0.0000000000000000,2.7555904000158682,3.4557600080516107,1.0000000000160238,0.0000000000000000,0.0000000000000000,0.9999999991916095,0.8344794580507493,2.0699968083690776,-1.2355173503183283,0.8344794580402481,2.0699968100525137,0.0000000000000000,0.0378036050629980,0.0200896559534435,0.0177139491095545,0.0378036050639342,0.0200896559694216,0.0351075412708448,0.0026960637921532,0.0152143996273413,0.0048752563261021,8.0000000030822989,0.0000000000000000,0.0000000000000000,0.0891173810257085,0.2821383930461152,-0.1930210120204067,0.0891173810261423,0.2821383932721663,0.0854157524934436,0.0037016285322649,0.2227849011907229,0.0593534918553923,1.9999994431328152,0.0000000000000000,0.0000000000000000,0.1489954454649881,1.0052271778300987,-0.8562317323651106,0.1489954454653862,1.0052271786456553,0.1124056529072905,0.0365897925576976,0.3638260851404259,0.6414010926896728,4.0000002762060980,0.0000000000000000,0.0000000000000000,0.1268129797104995,0.4437673136882035,-0.3169543339777040,0.1268129797135835,0.4437673140469509,0.0649462790183250,0.0618667006921746,0.1259080108372635,0.3178593028509401,1.0499995097776305,0.0000000000000000,0.0000000000000000,0.4317500467865552,0.3187742678512167,0.1129757789353385,0.4317500467712021,0.3187742681183193,0.2295624732070524,0.2021875735795028,0.1384656023160375,0.1803086655351792,0.0000000000000000,0.0000000000000000,0.9999999995657783,8.2632182683740787,10.1232933236948242,-1.8600750553207455,8.2632182682595818,10.1232933281034558,0.0000000000000000,0.6195523129819985,0.9784678990081299,-0.3589155860261314,0.6195523129973415,0.9784678994293947,0.4950498361032957,0.1245024768787028,0.8508482985830154,0.1276196004251145,8.0000001443679558,0.0000000000000000,0.0000000000000000,0.7942789227012962,1.0428291046819838,-0.2485501819806876,0.7942789227051623,1.0428291051358487,0.6465897686882223,0.1476891540130739,0.7986682780915894,0.2441608265903943,2.0000000004303571,0.0000000000000000,0.0000000000000000,0.5731427669761346,1.4403363690119468,-0.8671936020358122,0.5731427669776660,1.4403363696473748,0.3105727402646019,0.2625700267115328,0.5492434250258523,0.8910929439860945,3.9999993743135120,0.0000000000000000,0.0000000000000000,1.4687183047453705,2.9887887683997247,-1.5200704636543543,1.4687183047810883,2.9887887697108066,0.6046620458145698,0.8640562589308006,0.9546125497438369,2.0341762186558876,1.0499997426678109,0.0000000000000000,0.0000000000000000,4.8075259609692793,3.6728711825930391,1.1346547783762402,4.8075259607983227,3.6728711841800310,2.9308387341332303,1.8766872268360495,1.8588088861554561,1.8140622964375830,0.0000000000000000,0.0000000000000000
4,100.0000000066924741,100.0000000120757164,23.6510475783505250,66.0000000051477969,79.4445448394532718,1.0000000000779978,2.9292698396086880,-nan,4.7940890252906128,4.7940890252906128,6.0355390548594361,0.6566868829645213,0.7813628500282562,10.9447813737201471,0.7943099997722182,0.9999999999750736,7.9999990302860118,0.0000000000000000,7.6351181314196621,7.6351181314196621,3.6656297078467182,0.6806649721841443,1.1286387140473875,11.3444161996046926,2.0828940018343314,0.9999999999954479,1.9999993288576057,0.0000000000000000,5.3989534286760330,5.3989534286760330,3.4751826626264894,0.9821784064031353,2.1464074745920487,16.3696400956040478,1.5535739996457012,0.9999999999965445,3.9999988344676152,0.0000000000000000,13.5117595232460292,13.5117595232460292,5.4912190627588346,1.9991844458644188,6.9017790170053059,33.3197407605952307,2.4606120005086098,0.9999999999756084,1.0500004715976108,0.0000000000000000,134.3247376185479141,134.3247376185479141,2.4136183075923219,19.1669974469464677,68.4863567837802663,319.4499574070557060,55.6528499953839315,1.0000000000342630,0.0000000000000000,0.0000000000000000,7.2421411609565682,7.2421411609565682,2.0956724842537988,0.1653354239878374,0.0000000000000000,2.7555904000023657,3.4557600080029971,1.0000000000170395,0.0000000000000000,0.0000000000000000,0.9999999992279311,0.8344794581063965,2.0699968082769895,-1.2355173501705932,0.8344794580965593,2.0699968098847554,0.0000000000000000,0.0378036050723556,0.0200896559492510,0.0177139491231046,0.0378036050732979,0.0200896559645140,0.0351075412794689,0.0026960637928867,0.0152143996243407,0.0048752563249103,8.0000000029392861,0.0000000000000000,0.0000000000000000,0.0891173810324873,0.2821383930393397,-0.1930210120068523,0.0891173810328930,0.2821383932552577,0.0854157524998595,0.0037016285326278,0.2227849011860462,0.0593534918532935,1.9999994170004820,0.0000000000000000,0.0000000000000000,0.1489954454846010,1.0052271777495765,-0.8562317322649755,0.1489954454851159,1.0052271785284881,0.1124056529215464,0.0365897925630546,0.3638260851140188,0.6414010926355578,4.0000001852063338,0.0000000000000000,0.0000000000000000,0.1268129797156484,0.4437673136878470,-0.3169543339721986,0.1268129797187416,0.4437673140304833,0.0649462790203061,0.0618667006953422,0.1259080108382781,0.3178593028495689,1.0500000746334748,0.0000000000000000,0.0000000000000000,0.4317500468013041,0.3187742678509752,0.1129757789503289,0.4317500467865110,0.3187742681060123,0.2295624732149999,0.2021875735863042,0.1384656023163562,0.1803086655346189,0.0000000000000000,0.0000000000000000,0.9999999995820880,8.2632182686285027,10.1232933236001266,-1.8600750549716238,8.2632182685206441,10.1232933278437613,0.0000000000000000,0.6195523130626392,0.9784678989431109,-0.3589155858804717,0.6195523130780825,0.9784678993486914,0.4950498361682739,0.1245024768943653,0.8508482985317195,0.1276196004113914,7.9999990103157401,0.0000000000000000,0.0000000000000000,0.7942789227309067,1.0428291046769926,-0.2485501819460859,0.7942789227345223,1.0428291051138128,0.6465897687129437,0.1476891540179630,0.7986682780904536,0.2441608265865390,1.9999993050104679,0.0000000000000000,0.0000000000000000,0.5731427670199833,1.4403363689827453,-0.8671936019627620,0.5731427670219638,1.4403363695942812,0.3105727402890404,0.2625700267309429,0.5492434250187227,0.8910929439640226,3.9999978917716605,0.0000000000000000,0.0000000000000000,1.4687183047708348,2.9887887684015988,-1.5200704636307640,1.4687183048066590,2.9887887696633140,0.6046620458256051,0.8640562589452295,0.9546125497524736,2.0341762186491255,1.0500005305377775,0.0000000000000000,0.0000000000000000,4.8075259610441385,3.6728711825956806,1.1346547784484580,4.8075259608794179,3.6728711841236619,2.9308387341828479,1.8766872268612904,1.8588088861617591,1.8140622964339213,0.0000000000000000,0.0000000000000000
5,100.0000000071050010,100.0000000122983721,23.6510475780589289,66.0000000052019260,79.4445448394983202,1.0000000000788178,2.9292696752948766,-nan,4.7940890255102060,4.7940890255102060,6.0355390548856436,0.6566868829336747,0.7813628500280639,10.9447813742614599,0.7943099998051525,0.9999999999749475,7.9999993210036688,0.0000000000000000,7.6351181315180439,7.6351181315180439,3.6656297078560813,0.6806649721706028,1.1286387140456005,11.3444161998125548,2.0828940018558502,0.9999999999957253,1.9999994336887239,0.0000000000000000,5.3989534288733703,5.3989534288733703,3.4751826626397180,0.9821784063638770,2.1464074745816024,16.3696400962709383,1.5535739996965723,0.9999999999958639,3.9999996688303208,0.0000000000000000,13.5117595232889407,13.5117595232889407,5.4912190627824868,1.9991844458460217,6.9017790169921582,33.3197407608239331,2.4606120005058258,0.9999999999755573,1.0499993595031369,0.0000000000000000,134.3247376188906514,134.3247376188906514,2.4136183075987114,19.1669974467570796,68.4863567838508942,319.4499574095788148,55.6528499953785953,1.0000000000331148,0.0000000000000000,0.0000000000000000,7.2421411608700552,7.2421411608700552,2.0956724842548771,0.1653354239876743,0.0000000000000000,2.7555903999900613,3.4557600079599373,1.0000000000179181,0.0000000000000000,0.0000000000000000,0.9999999992600880,0.8344794581555693,2.0699968081953712,-1.2355173500398018,0.8344794581463160,2.0699968097361410,0.0000000000000000,0.0378036050806357,0.0200896559455404,0.0177139491350954,0.0378036050815828,0.0200896559601703,0.0351075412871002,0.0026960637935356,0.0152143996216851,0.0048752563238553,8.0000012659030677,0.0000000000000000,0.0000000000000000,0.0891173810384769,0.2821383930333249,-0.1930210119948480,0.0891173810388578,0.2821383932402726,0.0854157525055287,0.0037016285329482,0.2227849011818934,0.0593534918514315,2.0000000007292225,0.0000000000000000,0.0000000000000000,0.1489954455019460,1.0052271776782664,-0.8562317321763204,0.1489954455025623,1.0052271784247329,0.1124056529341550,0.0365897925677910,0.3638260850906330,0.6414010925876333,3.9999995089259621,0.0000000000000000,0.0000000000000000,0.1268129797201894,0.4437673136875036,-0.3169543339673142,0.1268129797232891,0.4437673140158759,0.0649462790220540,0.0618667006981354,0.1259080108391684,0.3178593028483352,1.0499997730471036,0.0000000000000000,0.0000000000000000,0.4317500468143213,0.3187742678507363,0.1129757789635850,0.4317500468000239,0.3187742680950896,0.2295624732220164,0.2021875735923049,0.1384656023166269,0.1803086655341093,0.0000000000000000,0.0000000000000000,0.9999999995965494,8.2632182688533113,10.1232933235153979,-1.8600750546620866,8.2632182687512952,10.1232933276126253,0.0000000000000000,0.6195523131340727,0.9784678988854013,-0.3589155857513286,0.6195523131495939,0.9784678992770615,0.4950498362258357,0.1245024769082369,0.8508482984861819,0.1276196003992194,7.9999992810714851,0.0000000000000000,0.0000000000000000,0.7942789227570791,1.0428291046724791,-0.2485501819154000,0.7942789227604745,1.0428291050941776,0.6465897687347965,0.1476891540222827,0.7986682780893775,0.2441608265831016,1.9999992802753850,0.0000000000000000,0.0000000000000000,0.5731427670587930,1.4403363689567241,-0.8671936018979312,0.5731427670611636,1.4403363695470592,0.3105727403106739,0.2625700267481191,0.5492434250123480,0.8910929439443761,3.9999997804293965,0.0000000000000000,0.0000000000000000,1.4687183047932653,2.9887887684030665,-1.5200704636098012,1.4687183048291648,2.9887887696209847,0.6046620458353350,0.8640562589579304,0.9546125497600580,2.0341762186430086,1.0499992981012416,0.0000000000000000,0.0000000000000000,4.8075259611101000,3.6728711825977252,1.1346547785123748,4.8075259609508993,3.6728711840733421,2.9308387342266000,1.8766872268835002,1.8588088861671834,1.8140622964305415,0.0000000000000000,0.0000000000000000
6,100.0000000074616509,100.0000000124864954,23.6510475777957225,66.0000000052467328,79.4445448395315452,1.0000000000794966,2.9292697341713043,-nan,4.7940890257043467,4.7940890257043467,6.0355390549084316,0.6566868829059284,0.7813628500278256,10.9447813747394473,0.7943099998343197,0.9999999999748447,7.9999964002258883,0.0000000000000000,7.6351181316042753,7.6351181316042753,3.6656297078642353,0.6806649721587943,1.1286387140439251,11.3444161999944022,2.0828940018747413,0.9999999999959691,1.9999992806301687,0.0000000000000000,5.3989534290475154,5.3989534290475154,3.4751826626512208,0.9821784063291122,2.1464074745721642,16.3696400968585607,1.5535739997415410,0.9999999999952680,3.9999995868759237,0.0000000000000000,13.5117595233253152,13.5117595233253152,5.4912190628030633,1.9991844458297643,6.9017790169798570,33.3197407610205190,2.4606120005032297,0.9999999999755239,1.0500004673278760,0.0000000000000000,134.3247376191833951,134.3247376191833951,2.4136183076042697,19.1669974465843929,68.4863567839077660,319.4499574117611473,55.6528499953717244,1.0000000000320930,0.0000000000000000,0.0000000000000000,7.2421411607920767,7.2421411607920767,2.0956724842558154,0.1653354239877305,0.0000000000000000,2.7555903999783320,3.4557600079211803,1.0000000000186811,0.0000000000000000,0.0000000000000000,0.9999999992885721,0.8344794581990392,2.0699968081228790,-1.2355173499238399,0.8344794581903021,2.0699968096043238,0.0000000000000000,0.0378036050879637,0.0200896559422544,0.0177139491457093,0.0378036050889147,0.0200896559563236,0.0351075412938540,0.0026960637941098,0.0152143996193337,0.0048752563229207,8.0000000027006735,0.0000000000000000,0.0000000000000000,0.0891173810437739,0.2821383930279641,-0.1930210119841901,0.0891173810441332,0.2821383932269674,0.0854157525105424,0.0037016285332315,0.2227849011781893,0.0593534918497748,1.9999992342593416,0.0000000000000000,0.0000000000000000,0.1489954455172929,1.0052271776150219,-0.8562317320977290,0.1489954455179980,1.0052271783327580,0.1124056529453118,0.0365897925719812,0.3638260850698978,0.6414010925451241,4.0000001147256210,0.0000000000000000,0.0000000000000000,0.1268129797241991,0.4437673136871466,-0.3169543339629475,0.1268129797273030,0.4437673140028878,0.0649462790235967,0.0618667007006024,0.1259080108399449,0.3178593028472017,1.0500001781189883,0.0000000000000000,0.0000000000000000,0.4317500468258095,0.3187742678504920,0.1129757789753175,0.4317500468119533,0.3187742680853867,0.2295624732282093,0.2021875735976002,0.1384656023168535,0.1803086655336386,0.0000000000000000,0.0000000000000000,0.9999999996093911,8.2632182690517872,10.1232933234390874,-1.8600750543873001,8.2632182689549456,10.1232933274064365,0.0000000000000000,0.6195523131973246,0.9784678988341441,-0.3589155856368195,0.6195523132129097,0.9784678992134553,0.4950498362768037,0.1245024769205209,0.8508482984457330,0.1276196003884111,7.9999963262607849,0.0000000000000000,0.0000000000000000,0.7942789227801855,1.0428291046683331,-0.2485501818881476,0.7942789227833872,1.0428291050766152,0.6465897687540891,0.1476891540260964,0.7986682780883128,0.2441608265800203,1.9999992931758395,0.0000000000000000,0.0000000000000000,0.5731427670931217,1.4403363689334436,-0.8671936018403219,0.5731427670958338,1.4403363695049725,0.3105727403298070,0.2625700267633148,0.5492434250066246,0.8910929439268189,3.9999992184836000,0.0000000000000000,0.0000000000000000,1.4687183048129828,2.9887887684040115,-1.5200704635910287,1.4687183048489312,2.9887887695830777,0.6046620458438893,0.8640562589690934,0.9546125497666841,2.0341762186373273,1.0500005102688335,0.0000000000000000,0.0000000000000000,4.8075259611681718,3.6728711825991551,1.1346547785690166,4.8075259610138836,3.6728711840283155,2.9308387342651367,1.8766872269030352,1.8588088861718060,1.8140622964273494,0.0000000000000000,0.0000000000000000
